timestamp,execution_type,time,order,goal,query_set,constraint_type,q15
08-30-23:25:45,NoShare-Uniform,695.076,0,0.0,Ten TPC-H Queries,nonUniform,True
09-13-18:53:56,NoShare-Uniform,438.305,0,4.0,Ten TPC-H Queries,uniform,True
09-01-04:18:56,NoShare-Uniform,953.866,0,0.5,Ten TPC-H Queries Twice with Different Parameters,uniform,True
09-01-19:32:58,NoShare-Uniform,447.239,0,1.0,Ten TPC-H Queries,uniform,True
09-01-17:31:40,NoShare-Uniform,484.861,0,0.5,Ten TPC-H Queries,uniform,True
09-01-15:11:22,NoShare-Uniform,603.539,0,0.2,Ten TPC-H Queries,uniform,True
09-01-12:02:50,NoShare-Uniform,776.21,0,0.1,Ten TPC-H Queries,uniform,True
09-13-18:13:19,NoShare-Uniform,433.983,0,2.0,Ten TPC-H Queries,uniform,True
09-13-19:14:19,NoShare-Uniform,432.498,0,4.0,Ten TPC-H Queries,uniform,True
09-01-08:18:53,NoShare-Uniform,880.394,0,1.0,Ten TPC-H Queries Twice with Different Parameters,uniform,True
08-30-20:03:11,NoShare-Uniform,667.294,0,1.0,All TPC-H Queries,uniform,True
08-30-16:16:43,NoShare-Uniform,726.421,0,0.5,All TPC-H Queries,uniform,True
08-30-11:34:53,NoShare-Uniform,858.88,0,0.2,All TPC-H Queries,uniform,True
09-13-17:52:51,NoShare-Uniform,433.801,0,2.0,Ten TPC-H Queries,uniform,True
09-01-10:47:33,NoShare-Uniform,771.864,0,0.1,Ten TPC-H Queries,uniform,True
09-01-18:13:30,NoShare-Uniform,429.325,0,1.0,Ten TPC-H Queries,uniform,True
09-01-16:05:53,NoShare-Uniform,479.214,0,0.5,Ten TPC-H Queries,uniform,True
09-01-13:15:29,NoShare-Uniform,596.987,0,0.2,Ten TPC-H Queries,uniform,True
09-01-09:31:54,NoShare-Uniform,761.459,0,0.1,Ten TPC-H Queries,uniform,True
09-13-17:32:34,NoShare-Uniform,447.056,0,2.0,Ten TPC-H Queries,uniform,True
09-13-18:33:28,NoShare-Uniform,424.051,0,4.0,Ten TPC-H Queries,uniform,True
08-31-23:09:51,NoShare-Uniform,1110.569,0,0.2,Ten TPC-H Queries Twice with Different Parameters,uniform,True
09-01-18:53:15,NoShare-Uniform,435.742,0,1.0,Ten TPC-H Queries,uniform,True
09-01-16:48:36,NoShare-Uniform,474.185,0,0.5,Ten TPC-H Queries,uniform,True
09-01-14:13:54,NoShare-Uniform,625.444,0,0.2,Ten TPC-H Queries,uniform,True
09-13-16:24:32,NoShare-Uniform,865.761,0,4.0,Ten TPC-H Queries Twice with Different Parameters,uniform,True
08-29-23:43:38,NoShare-Uniform,1050.669,0,0.1,All TPC-H Queries,uniform,True
09-13-11:38:39,NoShare-Uniform,644.101,0,2.0,All TPC-H Queries,uniform,True
09-13-13:14:56,NoShare-Uniform,650.064,0,4.0,All TPC-H Queries,uniform,True
09-01-05:49:57,NoShare-Uniform,889.131,0,1.0,Ten TPC-H Queries Twice with Different Parameters,uniform,True
08-31-21:02:01,NoShare-Uniform,1121.378,0,0.2,Ten TPC-H Queries Twice with Different Parameters,uniform,True
09-01-01:13:06,NoShare-Uniform,956.408,0,0.5,Ten TPC-H Queries Twice with Different Parameters,uniform,True
08-30-09:35:50,NoShare-Uniform,1057.16,0,0.1,All TPC-H Queries,uniform,True
08-31-09:38:13,NoShare-Uniform,1334.416,0,0.1,Ten TPC-H Queries Twice with Different Parameters,uniform,True
09-13-13:50:15,NoShare-Uniform,862.702,0,2.0,Ten TPC-H Queries Twice with Different Parameters,uniform,True
09-13-15:45:52,NoShare-Uniform,863.684,0,4.0,Ten TPC-H Queries Twice with Different Parameters,uniform,True
09-01-07:04:15,NoShare-Uniform,864.022,0,1.0,Ten TPC-H Queries Twice with Different Parameters,uniform,True
08-31-18:54:38,NoShare-Uniform,1114.769,0,0.2,Ten TPC-H Queries Twice with Different Parameters,uniform,True
08-30-14:44:44,NoShare-Uniform,858.764,0,0.2,All TPC-H Queries,uniform,True
09-13-10:34:50,NoShare-Uniform,654.249,0,2.0,All TPC-H Queries,uniform,True
09-13-12:10:40,NoShare-Uniform,649.152,0,4.0,All TPC-H Queries,uniform,True
08-30-21:11:14,NoShare-Uniform,662.824,0,1.0,All TPC-H Queries,uniform,True
09-13-14:28:43,NoShare-Uniform,875.063,0,2.0,Ten TPC-H Queries Twice with Different Parameters,uniform,True
08-30-17:31:51,NoShare-Uniform,721.971,0,0.5,All TPC-H Queries,uniform,True
08-30-13:09:47,NoShare-Uniform,852.523,0,0.2,All TPC-H Queries,uniform,True
08-30-07:32:07,NoShare-Uniform,1060.378,0,0.1,All TPC-H Queries,uniform,True
09-13-11:06:42,NoShare-Uniform,651.016,0,2.0,All TPC-H Queries,uniform,True
09-13-12:42:52,NoShare-Uniform,654.936,0,4.0,All TPC-H Queries,uniform,True
08-30-22:18:46,NoShare-Uniform,661.683,0,1.0,All TPC-H Queries,uniform,True
08-31-12:44:55,NoShare-Uniform,1326.953,0,0.1,Ten TPC-H Queries Twice with Different Parameters,uniform,True
08-30-18:47:28,NoShare-Uniform,723.502,0,0.5,All TPC-H Queries,uniform,True
08-31-15:51:43,NoShare-Uniform,1317.711,0,0.1,Ten TPC-H Queries Twice with Different Parameters,uniform,True
09-01-02:45:55,NoShare-Uniform,951.517,0,0.5,Ten TPC-H Queries Twice with Different Parameters,uniform,True
